ZONE,CIRCLE,ENGG. DIVISION,WARD,WIN CODE,NATURE OF WORK,SANCTION AMOUNT,SANCTION DATE,BUDGET HEAD,SANCTION AUTHORITY,FILE NO.,SLUM,PHYSICAL STATUS,YEAR
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,98-Somajiguda,D101300000,"DIV-9- REPAIRS TO EXISTING FOOTPATH IN VARIOUS LOCATIONS OF 96-KHAIRATABAD & 98-SOMAJIGUDA DIVISION, WARD NO-6, DIV-9,CZ,GHMC_x000D_
",43380,23-Apr-13,99928012305002,Zonal Commissioner,498/DIV-9,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,105-Banjara Hills,D101300001,"CONSTRUCTION OF RAIN WATER HARVESTING PITS AT H NO-8-2-684/2 BESIDE RELIANCE PANCHAVATI COLONY PARK AND MLA COLONY CHURCH BANJARA HILLS, DIV-10,CZ,GHMC_x000D_
",90000,8-May-13,99928014120053,Zonal Commissioner,1246/DIV-10,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,104-Srinagar Colony,D101300002,"DIV-10-DISMANTLING OF EXISTING ELSR WHICH IS OLD & DAMAGED OPP TO 'D' PARK IN SRINAGAR COLONY INCLUDING COST OF LABOUR MEN MATERIAL, NECESSARY SCAFFOLDING, CLEARING OF DEBRIES,CZ,GHMC",95000,2-May-13,99964002305103,Zonal Commissioner,1310/DIV-10,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,104-Srinagar Colony,D101300003,"DIV-10-DISMANTLING OF EXISTING ELSR WHICH IS OLD & DAMAGED OPP TO D PARK IN SRINAGAR COLONY, INCLUDING COST OF LABOUR MEN MATERIAL, NECESSARY SCAFFOLDING, CLEARING OF DEBRIES,CZ,GHMC_x000D_
",95000,28-May-13,99964002305103,Zonal Commissioner,1310/DIV-10,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300015,"MAINTENANCE OF FOOTPATH FROM MASABTANK JN TO 1/12 JUNCTION, BANJARA HILLS, DIV.10_x000D_
",441000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300016,"MAINTENANCE OF FOOTPATH FROM 1/12 JN TO OPP CARE HOSPITAL ROAD No.1, BANJARA HILLS, DIV.10",445500,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300017,"MAINTENANCE OF FOOTPATH FROM OPP CARE HOPITAL TO 1/7 ROAD JN, DIV.10",432000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300018,"MAINTENANCE OF FOOTPATH FROM ROAD No.1/7 JN TO NFCL JN BANJARA HILLS, DIV.10",436500,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300019,"ENGAGING VEHICLE FOR DEBRIS CARTING IN JUBILEE HILLS, DIV.10 (COP WORK)",160200,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300020,"MAINTENANCE OF FOOTPATH FROM ROAD No.1/5 JN TO JUBILEE HILLS CHECK POST BOTH SIDES OF ROAD, JUBILEE HILLS, DIV.10",396000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Completed,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300021,"PROVIDING PAINTING TO CC KERBING FROM NFCL JN TO MADHAPUR JN (LEFT SIDE) (10&36 JN SIDE) ROAD No.36, JUBILEE HILLS, DIV.10",369000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300022,"MAINTENANCE OF FOOTPATH FROM PANJAGUTTA GRAVEYARD TO KBR PARK JUBILEE HILLS, DIV.10",270000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Completed,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300023,"REMOVING OF ENCROACHMENT OF FOOTPATH FROM NFCL JN TO MADHAPUR P.S. JUBILEE HILLS, DIV.10",360000,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300024,"MIANTENANCE OF FOOTPATH FROM 1/12 JUNCTION TO OPP IT QUARTERS, ROAD No.12, BANJARA HILLS, DIV.10 (BALANCE WORK)",247500,26-Apr-13,99928012305002,Commissioner,1503/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300025,"LAYING OF FOOTPATH AT ROAD No.36, JUBILEE HILLS (FROM RANGOLI TO HONDA SHOWROOM) DIV.No.10_x000D_
",279000,26-Apr-13,99928014120041,Commissioner,1503/3/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300026,"LOWERING AND LAYING OF NP2 PIPE LINE AT PUNJAGUTTA JN, DIV.10_x000D_
",405000,26-Apr-13,99928014120052,Commissioner,1503/2/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,Conference of Parties,D101300027,"LAYING OF ROAD CROSSING NP3 PIPES OPP PEDDAMMA TEMPLE ENTRANCE ARCH, ROAD No.36, JUBILEE HILLS, DIV.10",441000,26-Apr-13,99928014120052,Commissioner,1503/2/COP-11,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,105-Banjara Hills,D101300044,"CONSTRUCTION OF ROOF OVER EXISTING DIMPUDUGALLU AT ROAD No.12 GRAVEYARD, BANJARA HILLS, DIV.10, CZ, GHMC_x000D_
",385000,13-May-13,99931004120027,Zonal Commissioner,1398,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,109-Jubilee Hills,D101300043,"CONSTRUCTION OF COMMUNITY HALL AT JHANSI LAXMI BAI MAHILA BHAVAN IN 109-JUBILEE HILLS, DIV.10_x000D_
",1275,18-Apr-13,99928014120023,Zonal Commissioner,1309,No,Tender Process,2013-14
CENTRAL ZONE,CIRCLE-10(EX-MCH-5),Division-10,110-Shaikpet,D101300042,"CONSTRUCTION OF SITTING ROOM IN HINDU GRAVEYARD AT 110-SHAIKPET, DIV.10,CZ, GHMC (ADDL. ADMINISTRATIVE SANCTION)_x000D_
",21279,16-Apr-13,99931004120027,Zonal Commissioner,1308,No,Tender Process,2013-14
